Question,Tag
The expression large frac x y x y 2 is equal to The maximum of x and y The minimum of x and y 1 None of the above ,Absolute Value
If x is real and mid x 2 2x 3 mid 11 then possible values of mid x 3 x 2 x mid include 2 4 2 14 4 52 14 52 ,Absolute Value
If  mid 4X 7 mid 5 then the values of 2 mid X mid mid X mid is quad 2 left dfrac 1 3 right left dfrac 1 2 right 3 left dfrac 3 2 right 9 left dfrac 2 3 right 9 ,Absolute Value
An Abstract Data Type ADT is same as an abstract class a data type that cannot be instantiated a data type for which only the operations defined on it can be used but none else all of the above ,Abstract Data Type
The number of full and half adders required to add 16 bit numbers is 8 half adders 8 full adders 1 half adder 15 full adders 16 half adders 0 full adders 4 half adders 12 full adders  ,Adder
Fill in the blanks In the two bit full adder subtractor unit shown in below figure when the switch is in position 2 ___________ using _________ arithmetic ,Adder
Consider the ALU shown below If the operands are in 2 u2019s complement representation which of the following operations can be performed by suitably setting the control lines K and C_0 only and u2013 denote addition and subtraction respectively A B and A u2013 B but not A 1 A B and A 1 but not A u2013 B A B but not A u2013 B or A 1 A B and A u2013 B and A 1 ,Adder
Consider an eight bit ripple carry adder for computing the sum of A and B where A and B are integers represented in 2 s complement form If the decimal value of A is one the decimal value of B that leads to the longest latency for the sum to stabilize is ___________,Adder
An N bit carry lookahead adder where N is a multiple of 4 employs ICs 74181 4 bit ALU and 74182 4 bit carry lookahead generator The minimum addition time using the best architecture for this adder is proportional to N proportional to log N a constant None of the above ,Adder
A 4 bit carry look ahead adder which adds two 4 bit numbers is designed using AND OR NOT NAND NOR gates only Assuming that all the inputs are available in both complemented and uncomplemented forms and the delay of each gate is one time unit what is the overall propagation delay of the adder Assume that the carry network has been implemented using two level AND OR logic 4 time units 6  time units 10  time units 12  time units ,Adder
 Consider a carry look ahead adder for adding two n bit integers built using gates of fan in at most two The time to perform addition using this adder is Theta 1 Theta log n Theta sqrt n Theta n ,Adder
Aliasing in the context of programming languages refers to multiple variables having the same memory location multiple variables having the same value multiple variables having the same identifier multiple uses of the same variable ,Aliasing
The maximum gate delay for any output to appear in an array multiplier for multiplying two n bit numbers is O n 2 O n O log n O 1  ,Array Multiplier
Consider an array multiplier for multiplying two n bit numbers If each gate in the circuit has a unit delay the total delay of the multiplier is Theta 1 Theta log n Theta n Theta n 2 ,Array Multiplier
The procedure given below is required to find and replace certain characters inside an input character string supplied in array A The characters to be replaced are supplied in array oldc while their respective replacement characters are supplied in array newc Array A has a fixed length of five characters while arrays oldc and newc contain three characters each However the procedure is flawed void find_and_replace char A char oldc char newc for int i 0 i lt 5 i for int j 0 j lt 3 j if A i oldc j A i newc j The procedure is tested with the following four test cases oldc u201cabc u201d newc u201cdab u201d   oldc u201ccde u201d newc u201cbcd u201d oldc u201cbca u201d newc u201ccda u201d    oldc u201cabc u201d newc u201cbac u201d The tester now tests the program on all input strings of length five consisting of characters u2018 a u2019 u2018 b u2019 u2018 c u2019 u2018 d u2019  and u2018 e u2019  with duplicates allowed If the tester carries out this testing with the four test cases given above how many test cases will be able to capture the flaw Only one Only two Only three All four ,Arrays
The procedure given below is required to find and replace certain characters inside an input character string supplied in array  A The characters to be replaced are supplied in array oldc while their respective replacement characters are supplied in array newc Array A has a fixed length of five characters while arrays oldc and newc contain three characters each However the procedure is flawed void find_and_replace char A char oldc char newc for int i 0 i lt 5 i for int j 0 j lt 3 j if A i oldc j A i newc j The procedure is tested with the following four test cases oldc u201cabc u201d newc u201cdab u201d    oldc u201ccde u201d newc u201cbcd u201d oldc u201cbca u201d newc u201ccda u201d    oldc u201cabc u201d newc u201cbac u201d If array A is made to hold the string u201c abcde u201d which of the above four test cases will be successful in exposing the flaw in this procedure None 2 only 3 and 4 only 4 only ,Arrays
Suppose you are given arrays p 1 N  and q 1 N both uninitialized that is  each location may contain an arbitrary value and a variable count  initialized to 0 Consider the following procedures set and is _set set i count count 1 q count i p i count is_set i if p i u2264 0 or p i gt count return false if q p i u2260 i return false return true          Suppose we make the following sequence of calls  set 7 set 3 set 9  After these  sequence  of calls what is the  value of count and what do q 1  q 2 q 3 p 7 p 3 and p 9 contain Complete the following statement The first count elements of __________contain values i such that set _________________ has been called Show that if set i has not been called for some i then regardless of what p i contains is _set i will return false   ,Arrays
Let A be a two dimensional array declared as follows A array 1 u2026 10 1 u2026 15 of integer Assuming that each integer takes one memory location the array is stored in row major order and the first element of the array is stored at location 100 what is the address of the element A i j 15i j 84 15j i 84 10i j 89 10j i 89  ,Arrays
In a compact single dimensional array representation for lower triangular matrices i e all the elements above the diagonal are zero of size n imes n non zero elements i e elements of lower triangle of each row are stored one after another starting from the first row the index of the i j th element of the lower triangular matrix in this new representation is i j i j 1 j 1 frac i i 1 2 i frac j j 1 2  ,Arrays
Consider the C function given below Assume that the array listA contains n gt 0 elements sorted in ascending order int ProcessArray int listA int x int n  int i j k  i 0 j n 1  do  k i j 2  if x lt listA k j k 1  if listA k lt x i k 1   while i lt j  if listA k x return k  else return 1 Which one of the following statements about the function ProcessArray is  CORRECT It will run into an infinite loop when x is not in listA It is an implementation of binary search It will always find the maximum element in listA It will return u2212 1 even when x is present in listA ,Arrays
Consider an array A 1 n It consists of a permutation of numbers 1 n Now compute another array B 1 n as follows B A i i for all i Which of the following is true B will be a sorted array B is a permutation of array A Doing the same transformation twice will not give the same array B is not a permutation of array A None of the above ,Arrays
An n imes n array v is defined as follows v left i j right i j for all i j i leq n 1 leq j leq n The sum of the elements of the array v is 0 n 1 n 2 3n 2 n 2 frac left n 1 right 2  ,Arrays
An array A contains n integers in non decreasing order A 1 leq A 2 leq cdots leq A n Describe using Pascal like pseudo code a linear time algorithm to find i j such that A i A j a given integer M if such i j exist ,Arrays
An array A contains n geq 1 positive integers in the locations A 1 A 2 dots A n The following program fragment prints the length of a shortest sequence of consecutive elements of A A i A i 1 dots A j such that the sum of their values is geq M a given positive number It prints u2018 n 1 u2019 if no such sequence exists Complete the program by filling in the boxes In each case use the simplest possible expression Write only the line number and the contents of the box  begin i 1 j 1 sum u25fb min n finish false while not finish do if u25fb then if j n then finish true else begin j j 1 sum u25fb end else begin if j i lt min then min j i sum sum u2013A i i i 1 end writeln min 1 end ,Arrays
A Young tableau is a 2D array of integers increasing from left to right and from top to bottom Any unfilled entries are marked with infty and hence there cannot be any entry to the right of or below a infty The following Young tableau consists of unique entries 1 2 5 14 3 4 6 23 10 12 18 25 31 infty infty infty When an element is removed from a Young tableau other elements should  be moved into its place so that the resulting table is still a Young tableau unfilled entries may be filled with a infty The minimum number of entries other than 1 to be shifted to remove 1 from the given Young tableau is _____  ,Arrays
A program P reads in 500 integers in the range 0 100 representing the scores of 500 students It then  prints the frequency of each score above 50 What would be the best way for P to store the frequencies An array of 50 numbers An array of 100 numbers An array of 500 numbers A dynamically allocated array of 550 numbers ,Arrays
The order of an internal node in a B  tree index is the maximum number of children it can have Suppose that a child pointer takes 6 bytes the search field value takes 14 bytes and the block size is 512 bytes What is the order of the internal node 24 25 26 27 ,B Tree
The order of a leaf node in a B tree is the maximum number of value data record pointer pairs it can hold Given that  the block size is 1K bytes data record pointer is 7 bytes long the value field is 9 bytes long and a block pointer is 6 bytes long what is the order of the leaf node  63 64 67 68  ,B Tree
In a database file structure the search key field is 9 bytes long the block size is 512 bytes a record pointer is 7 bytes and a block pointer is 6 bytes The largest possible order of a non leaf node in a B tree implementing this file structure is 23 24 34 44 ,B Tree
Consider the B tree in the adjoining figure where each node has at most two keys and three links Now the key K 50 is deleted from the B tree resulting after the two insertions made earlier Consider the following statements about the B tree resulting after this deletion The height of the tree remains the same The node    k20        disregarding the links is present in the tree The root node remains unchanged disregarding the links 1 Which one of the following options is true Statements i and ii are true Statements ii and iii are true Statements iii and i are true All the statements are false ,B Tree
Consider the B tree in the adjoining figure where each node has at most two keys and three links Keys K 15 and then K 25 are inserted into this tree in that order Exactly how many of the following nodes disregarding the links will be present in the tree after the two insertions 1 2 3 4 ,B Tree
Consider a table T in a relational database with a key field K A B tree of order p  is used as an access structure on K where p denotes the maximum number of tree pointers in a B tree index node Assume that K is 10 bytes long disk block size is 512 bytes each data pointer PD  is 8 bytes long and each block pointer PB is 5 bytes long In order for each B tree node to fit in a single disk block the maximum value of p is 20 22 23 32 ,B Tree
Consider a B tree with degree m that is the number of children c of any internal note except the root is such that m leq c leq 2m 1 Derive the maximum and minimum number of records in the leaf nodes for such a B tree with height h h geq 1 Assume that the root of a tree is at height 0 ,B Tree
A B Tree used as an index for a large database table has four levels including the root node If a new key is inserted in this index then the maximum number of nodes that could be newly created in the process are 5 4 3 2 ,B Tree
A B tree index is to be built on the Name  attribute of the relation  STUDENT  Assume that all the student names are of length 8 bytes disk blocks are of size 512 bytes and index pointers are of size 4 bytes Given the scenario what would be the best choice of the degree i e number of pointers per node of the B tree 16 42 43 44  ,B Tree
 Which of the following is correct B trees are for storing data on disk and B trees are for main memory Range queries are faster on B trees B trees are for primary indexes and B trees are for secondary indexes The height of a B tree is independent of the number of records  ,B Tree
 The following table refers to search items for a key in B trees and B trees B u2212tree B u2212tree Successful search Unsuccessful search Successful search Unsuccessful search X1 X2 X3 X4 A successful search means that the key exists in the database and unsuccessful means that it is not present in the database Each of the entries X_1 X_2 X_3 and X_4 can have a value of either Constant or Variable Constant means that the search time is the same independent of the specific key value where variable means that it is dependent on the specific key value chosen for the search Give the correct values for the entries X_1 X_2 X_3 and X_4 for example X_1 ext Constant X_2 ext Constant X_3 ext Constant X_4 ext Constant  Relation R A B has the following view defined on it  CREATE VIEW V AS SELECT R1 A R2 B FROM R AS R1 R as R2 WHERE R1 B R2 A The current contents of relation R are shown below What are the contents of the view V A B 1 2 2 4 6 6 9 2 3 4 5 7 8 10 The tuples 2 11 and 11 6 are now inserted into R What are the additional tuples that are inserted in V ,B Tree
 Consider B tree of order d shown in figure A  B tree of order d contains between d and 2d keys in each node Draw the resulting B tree after 100 is inserted in the figure below For a B tree of order d with n leaf nodes the number of nodes accessed during a search is O   ,B Tree
 B trees are preferred to binary trees in databases because Disk capacities are greater than memory capacities Disk access is much slower than memory access Disk data transfer rates are much less than memory data transfer rates Disks are more reliable than memory  ,B Tree
  A B tree of order d is a tree in which each internal node has between d and 2 d key values An internal node with M key values has M 1 children The root if it is an internal node has between 1 and 2d key values The distance of a node from the root is the length of the path from the root to the node All leaves are at the same distance from the root The height of the tree is the distance of a leaf from the root What is the total number of key values in the internal nodes of a B tree with l leaves l geq 2 What is the maximum number of internal nodes in a B tree of order 4 with 52 leaves What is the minimum number of leaves in a B tree of order d and height h h geq 1 ,B Tree
Suppose a fair six sided die is rolled once If the value on the die is 1 2 or 3 the die is rolled a second time What is the probability that the sum total of values that turn up is at least 6 dfrac 10 21 dfrac 5 12 dfrac 2 3 dfrac 1 6 ,Bayes Theorem
Box P has 2 red balls and 3 blue balls and box Q has 3 red balls and 1 blue ball A ball is selected as follows i select a box ii choose a ball from the selected box such that each ball in the box is equally likely to be chosen The probabilities of selecting boxes P and Q are dfrac 1 3 and dfrac 2 3 respectively Given that a ball selected in the above process is a red ball the probability that it came from the box P is dfrac 4 19 dfrac 5 19 dfrac 2 9 dfrac 19 30 ,Bayes Theorem
An automobile plant contracted to buy shock absorbers from two suppliers X and Y X supplies 60 and Y supplies 40 of the shock absorbers All shock absorbers are subjected to a quality test The ones that pass the quality test are considered reliable Of X u2019s shock absorbers 96 are reliable Of Y u2019s shock absorbers 72 are reliable The probability that a randomly chosen shock absorber which is found to be reliable is made by Y is A 0 288 B 0 334 C 0 667 D 0 720,Bayes Theorem
The number of possible commutative binary operations that can be defined on a set of n elements for a given n is ___________ ,Binary Operation
The binary operator  u2260 is defined by the following truth table p q p  u2260 q 0 0 0 0 1 1 1 0 1 1 1 0 Which one of the following is true about the binary operator  u2260 Both commutative and associative Commutative but not associative Not commutative but associative Neither commutative nor associative ,Binary Operation
On the set N of non negative integers the binary operation ______ is associative and non commutative ,Binary Operation
Let be the binary operator defined as X Y X Y where X and Y are Boolean variables Consider the following two statements S1 P Q R P Q R S2 Q R R Q Which are the following is are true for the Boolean variables P Q and R  Only S1 is true Only S2 is true Both S1 and S2 are true Neither S1 nor S2 are true ,Binary Operation
For the set N of natural numbers and a binary operation f N x N u2192 N an element z u220a N is called an identity for f if f a z a f z a for all a u220a N Which of the following binary operations have an identity f x y x y 3 f x y max x y f x y xy  I and II only II and III only I and III only None of these ,Binary Operation
Consider the set a b c with binary operators and defined as follows    a   b   c   a b a c  b a b c  c a c b     a   b   c  a a b c b b c a c c c b For example a c c c a a c b c and b c a Given the following set of equations a x a y c b x c y c The number of solution s i e pair s x y that satisfy the equations is 0 1 2 3 ,Binary Operation
A logical binary relation odot is defined as follows  A B A odot B  True True True True False True False True False False False True  Let sim be the unary negation NOT operator with higher precedence then odot Which one of the following is equivalent to A wedge B sim A odot  B sim A odot sim B sim sim A odot sim B sim sim A odot  B ,Binary Operation
A binary operation oplus on a set of integers is defined as x oplus y x 2 y 2 Which one of the following statements is TRUE about oplus A Commutative but not associative B Both commutative and associative C Associative but not commutative D Neither commutative nor associative,Binary Operation
When searching for the key value 60 in a binary search tree nodes containing the key values 10 20 40 50 70 80 90 are traversed not necessarily in the order given How many different orders are possible in which these key values can occur on the search path from the root to the node containing the value 60 35 64 128 5040 ,Binary Search Tree
The numbers 1 2 dots n are inserted in a binary search tree in some order In the resulting tree the right subtree of the root contains p nodes The first number to be inserted in the tree must be p p 1 n p n p 1 ,Binary Search Tree
The following numbers are inserted into an empty binary search tree in the given order 10 1 3 5 15 12 16 What is the height of the binary search tree the height is the maximum distance of a leaf node from the root 2 3 4 6  ,Binary Search Tree
Suppose the numbers 7 5 1 8 3 6 0 9 4 2 are inserted in that order into an initially empty binary search tree The binary search tree uses the usual ordering on natural numbers What is the in order traversal sequence of the resultant tree 7  5  1 0 3 2 4 6 8 9 0 2  4 3 1 6  5  9  8  7 0 1 2 3 4 5 6 7 8 9 9 8 6 4  2  3 0 1 5 7 ,Binary Search Tree
Suppose that we have numbers between 1 and 100 in a binary search tree and want to search for the number 55 Which of the following sequences CANNOT be the sequence of nodes examined 10 75 64 43 60 57 55 90 12 68 34 62 45 55 9 85 47 68 43 57 55 79 14 72 56 16 53 55 ,Binary Search Tree
Let T n be the number of different binary search trees on n distinct elements Then T n sum_ k 1 n T k 1 T x where x is  n k 1 n k n k 1 n k 2 ,Binary Search Tree
A program takes as input a balanced binary search tree with n  leaf nodes and computes the value of a function g x for each node x If the cost of computing g x is  Large min left substack ext number of leaf nodes ext in left subtree of x substack ext number of leaf nodes ext in right subtree of x right Then the worst case time complexity of the program is Theta  n Theta  n log n Theta n 2 Theta  n 2 log n ,Binary Search Tree
A data structure is required for storing a set of integers such that each of the following operations can be done in O log n time where n is the number of elements in the set Deletion of the smallest element Insertion of an element if it is not already present in the set Which of the following data structures can be used for this purpose A heap can be used but not a balanced binary search tree A balanced binary search tree can be used but not a heap Both balanced binary search tree and heap can be used Neither balanced search tree nor heap can be used ,Binary Search Tree
