INSTRUCTION,RESPONSE
"Самостоятелно съществуващи живи системи са: вирусите, тъканите, митохондриите, едноклетъчните организми?",едноклетъчните организми
"Всички организми, населяващи една и съща територия и свързани помежду си с разнообразни отношения, образуват: биосфера, биотоп, биоценоза, популация?",биоценоза
"Функционалното място, което заема една популация в биоценозата наричаме: местообитание, екологичен доминант, екологична ниша, екологична пирамида?",екологична ниша
"Редуцентите са организми, които се хранят: чрез фотосинтеза, само с животинска храна, с мъртва органична материя, само с растителна храна?",с мъртва органична материя
"Една от основните причини за развитието на парниковия ефект е: високата концентрация на замърсители във въздуха, повишената слънчева радиация, голямото видовото разнообразие, ограниченото количество хранителни ресурси?",високата концентрация на замърсители във въздуха
"Кои химични съединения, характерни за клетката, задължително съдържат в молекулата си, както aминогрупа (–NH2), така също и карбоксилна група   (–COOH)? монозахариди, аминокиселини, фосфолипиди, мастни киселини?",аминокиселини
"Кое от изброените химични съединения е белтък? хемоглобин, скорбяла, АТФ, целулоза?",хемоглобин
"Гликогенът е органично съединение от групата на: белтъците, липидите, въглехидратите, нуклеиновите киселини?",въглехидратите
"Кои химични съединения в клетката носят наследствената информация? мастни киселини, фосфолипиди, нуклеинови киселини, аминокиселини?",нуклеинови киселини
"Еукариотни са клетките на: растенията и животните, бактериите, цианобактериите, всички едноклетъчни организми?",растенията и животните
"Кои от изброените структури са характерни САМО за растителните клетки? клетъчен център и лизозоми, апарат на Голджи и ендоплазмена мрежа, клетъчна стена и пластиди, митохондрии и рибозоми?",клетъчна стена и пластиди
"Както прокариотните, така и еукариотните клетки, съдържат: клетъчно ядро и апарат на Голджи, клетъчна мембрана и цитоплазма, клетъчен център и митохондрии, клетъчна стена и лизозоми?",клетъчна мембрана и цитоплазма
"Хлоропластите и митохондриите си приличат по това, че в тях: няма ензими, протича цикъла на Кребс, се синтезира АТФ, протича цикъла на Калвин?",се синтезира АТФ
"Анаболитните процеси са: процеси на разграждане, редукционни и поглъщащи енергия, процеси на хидролиза, окислителни и освобождаващи енергия?",редукционни и поглъщащи енергия
"Зиготата и телесните клетки при човека имат по 46 хромозоми. Колко от  хромозомите в зиготата са получени от майчиния организъм? 23, 92, 0, 46?",23
"Фенотип наричаме съвкупността от: генетичните процеси в клетката, гените в хромозомния набор на един индивид, проявените признаци на един индивид, хромозомите в телесните клетки?",проявените признаци на един индивид
"Кое от твърденията е вярно за процеса овогенеза? Извършва се в семенниците., Извършва се в яйчниците., От всяка родоначална клетка се образува по 4 равностойни гамети., Състои се от 4 фази.?",Извършва се в яйчниците.
"Дивергенцията е еволюционен процес на: развитие само на сухоземните организми, раздалечаване на белезите при близкородствени групи организми, сближаване на белезите при неродствени групи организми, паралелно развитие на неродствени групи организми?",раздалечаване на белезите при близкородствени групи организми
"Кой от изброените еволюционни фактори възпрепятства свободното кръстосване между индивидите от един вид? популационни вълни, имиграции, мутационен процес, изолация?",изолация
"Ароморфозите са: палеонтологични доказателства за еволюцията, основна насока на еволюционния процес, един от пътищата на биологичния прогрес, анатомични доказателства за еволюцията?",един от пътищата на биологичния прогрес
"Кое от следващите твърдения е основно положение в клетъчната теория? Растителните и животинските клетки са еукариотни., Митозата е универсалното клетъчно делене., Клетката е най-малката структурна и функционална единица на живата материя., Прокариотните клетки нямат оформено ядро.?",Клетката е най-малката структурна и функционална единица на живата материя.
"Кои от изброените фактори са биотични? почва и въздух, вода и вятър, конкуренция и сътрудничество, светлина и температура?",конкуренция и сътрудничество
"Екосистемата представлява: група от близкородствени видове, съвкупност от популации на различни видове, жива система, съставена от индивиди на един вид, единство от биоценоза и биотоп?",единство от биоценоза и биотоп
"Гъстата космена покривка при бозайниците през зимата е пример за: физиологична адаптация, поведенческа адаптация, генетична адаптация, морфологична адаптация?",морфологична адаптация
"Водата е среда на живот за: хигрофитите, хидрофитите, ксерофитите, мезофитите?",хидрофитите
"Доминантните видове в горските екосистеми се отнасят към: продуцентите, консументите от І ред, консументите от ІІ ред, редуцентите?",продуцентите
"Пример за полово поведение при животните са: брачните танци и ритуали, зимният и летният сън, изхранването и грижите за малките, случайните миграции на отделни индивиди?",брачните танци и ритуали
"Кое свойство на водата е предпоставка някои насекоми да се придвижват по повърхността на водните басейни? разтворимостта, реактивоспособността, високата топлина на изпарение, високото повърхностно напрежение?",високото повърхностно напрежение
"Кои клетъчни структури НЕ съдържат молекули ДНК? хроматин, хромозоми, рибозоми, митохондрии?",рибозоми
"Какви връзки поддържат първичната структура на белтъка? пептидни, водородни, фосфодиестерни, гликозидни?",пептидни
